Trial  Epoch   LepIsoRank  MetPhiRank  MLLRank  ScoreRank  StatsScore     MLLKS     MetPhiKS  LepIsoKS  SortKey
42     45000   2721        1713        1005     3629       374.651028     0.103531  0.020860  0.322900  2718.000000
29     97000   10944       428         2302     15021      7085.174520    0.132077  0.010651  0.554250  2730.000000
18     41000   3213        653         2086     2692       306.352692     0.127637  0.012838  0.336600  2739.000000
24     46000   11201       1554        1196     15085      7449.355113    0.109232  0.019766  0.563573  2750.000000
71     16000   9631        1943        820      14909      6510.273286    0.098428  0.022365  0.512800  2763.000000
23     95000   15213       1065        1710     15561      14904.603354   0.120560  0.016027  0.874200  2775.000000
23     19500   13923       1465        1311     15644      22218.961302   0.111610  0.019052  0.706998  2776.000000
71     8000    11613       2275        528      14955      6691.678609    0.088665  0.024648  0.578896  2803.000000
86     78500   14757       1210        1622     12290      2602.723047    0.118705  0.017059  0.794700  2832.000000
13     54000   14665       2815        18       6519       788.158101     0.044822  0.028286  0.782800  2833.000000
83     83000   12446       1734        1100     11873      2376.978340    0.106718  0.020958  0.614900  2834.000000
6      35000   8423        2776        79       4812       495.560976     0.059242  0.027977  0.478400  2855.000000
35     63500   4163        282         2575     5853       658.212222     0.136793  0.009461  0.362600  2857.000000
24     54500   9586        363         2504     15115      7636.058252    0.135600  0.010119  0.511700  2867.000000
21     62000   57          2098        775      37         77.272614      0.097087  0.023493  0.189100  2873.000000
44     89000   2558        2504        373      6411       764.326056     0.082033  0.026080  0.318100  2877.000000
54     77500   9846        903         1978     14315      4769.874198    0.125725  0.014811  0.519741  2881.000000
45     12500   5871        30          2855     15679      27648.186894   0.141694  0.005968  0.409500  2885.000000
66     70000   12442       365         2520     9479       1467.274039    0.135939  0.010125  0.614800  2885.000000
86     12000   12080       2525        372      11548      2216.378874    0.082025  0.026215  0.597100  2897.000000
49     47000   8529        1508        1403     6166       715.730676     0.113737  0.019322  0.481345  2911.000000
8      94500   14294       2408        507      8825       1295.759993    0.087720  0.025503  0.737300  2915.000000
38     38500   4211        2659        262      1261       222.676839     0.075563  0.027176  0.364000  2921.000000
14     96000   7070        326         2631     12905      3023.530180    0.137831  0.009856  0.441176  2957.000000
50     100000  13050       1826        1147     5225       555.916615     0.107578  0.021686  0.647300  2973.000000
67     12500   14141       77          2904     13564      3663.494351    0.142473  0.006953  0.723000  2981.000000
23     14500   15169       39          2959     15822      96985.030723   0.143277  0.006186  0.863100  2998.000000
37     53500   14718       56          2954     13790      3963.101764    0.143252  0.006515  0.790300  3010.000000
1      31500   8107        1143        1868     14132      4453.444494    0.123909  0.016561  0.470165  3011.000000
45     82000   14041       2511        517      15037      7179.962460    0.088225  0.026118  0.715416  3028.000000
57     55500   534         2928        104      1695       248.349255     0.062139  0.029055  0.237800  3032.000000
79     65500   3164        1211        1839     9013       1345.224645    0.123239  0.017060  0.335300  3050.000000
86     88500   11219       3008        51       10531      1817.102865    0.054892  0.029675  0.564100  3059.000000
23     86500   8615        983         2081     14561      5347.243845    0.127422  0.015368  0.483900  3064.000000
36     18500   5143        2081        984      11441      2164.314776    0.102976  0.023369  0.390000  3065.000000
29     31000   11866       835         2235     13339      3408.492321    0.130608  0.014287  0.588082  3070.000000
30     54000   7076        1507        1565     12506      2738.086830    0.117617  0.019314  0.441300  3072.000000
6      45000   3075        2285        790      5067       532.435588     0.097477  0.024690  0.333100  3075.000000
23     80500   13117       1327        1755     15616      18353.849859   0.121437  0.017925  0.651057  3082.000000
81     10000   12339       643         2446     11515      2198.812030    0.134706  0.012769  0.610160  3089.000000
24     62500   15098       1975        1115     14724      5859.845054    0.106987  0.022563  0.848810  3090.000000
45     82500   15428       2043        1051     15808      82708.738522   0.105144  0.023075  0.936600  3094.000000
9      78000   12004       2725        379      10518      1810.775051    0.082419  0.027711  0.593700  3104.000000
37     61500   12186       2822        290      12537      2755.710808    0.077125  0.028316  0.602249  3112.000000
11     24000   7723        2030        1088     10956      1970.787556    0.106359  0.023007  0.459226  3118.000000
83     93000   10988       1074        2058     10296      1730.259937    0.127099  0.016073  0.555900  3132.000000
29     64500   14010       2990        146      12904      3023.102646    0.066752  0.029578  0.712900  3136.000000
43     89500   15033       330         2817     9263       1410.729082    0.141040  0.009877  0.838000  3147.000000
69     84000   10467       956         2191     11763      2308.450219    0.129875  0.015190  0.539600  3147.000000
54     39500   4895        1313        1838     15173      7933.738531    0.123229  0.017837  0.382998  3151.000000
46     100000  13620       1960        1193     7877       1069.346995    0.109089  0.022458  0.682400  3153.000000
11     58000   3980        1614        1542     7329       950.697163     0.117109  0.020096  0.358140  3156.000000
73     100000  11425       2996        163      6706       824.414401     0.068489  0.029608  0.571600  3159.000000
14     97000   15347       434         2727     11117      2033.299246    0.139647  0.010740  0.914500  3161.000000
38     48500   4234        2761        408      501        166.897247     0.083662  0.027894  0.364700  3169.000000
43     37500   13005       834         2335     10879      1942.589528    0.132738  0.014280  0.644600  3169.000000
24     30000   13666       1108        2068     14797      6051.609289    0.127332  0.016319  0.686600  3176.000000
29     95500   10195       540         2654     15137      7739.764393    0.138131  0.011752  0.531202  3194.000000
62     97000   1799        808         2411     3539       367.136283     0.133967  0.014126  0.293600  3219.000000
53     70000   6311        2572        670      3553       368.244190     0.093724  0.026575  0.421100  3242.000000
86     93500   13806       1586        1667     11124      2035.418248    0.119645  0.019909  0.696900  3253.000000
23     66500   12760       1845        1431     15540      13894.688335   0.114598  0.021789  0.630000  3276.000000
37     68000   13767       321         2970     10297      1730.876709    0.143439  0.009796  0.694117  3291.000000
65     90500   10007       2616        701      1431       232.270847     0.094513  0.026838  0.524700  3317.000000
